image_id,category_id,x,y
4595868,3047,534.1153118227052,298.4491590097377
4595868,3046,506.73918007265166,588.4874141457309
4595868,3048,466.9249824475716,313.00706370768324
4595868,3048,628.1817729478921,309.6475472389266
4595869,3048,805.7890652331727,416.72816685612315
4595869,3048,644.3232498912976,450.6903534381018
4595869,3046,705.5692900180136,588.3138083110753
4595869,3047,673.7104432640784,564.8330651310907
4595873,3048,777.8854607820317,340.6719013062072
4595873,3048,674.0450963295236,333.1401984165582
4595873,3047,712.1756042185905,448.89352593693917
4595873,3046,753.9375890494731,403.9539987819677
4595876,3046,629.1321531740733,545.0635906349335
4595876,3048,525.8129496748977,267.08332745294825
4595876,3048,670.8902302757917,267.08332745294825
4595876,3047,597.0466262861223,208.8291126997969
4595877,3046,597.204490705261,412.2761813825534
4595877,3048,578.875630092288,71.09031815479929
4595877,3048,755.594747906872,91.24479986179209
4595877,3047,639.9206838708585,143.08876018754083
4595888,3048,698.2260504115046,251.8858187140631
4595888,3048,516.7304238867692,273.2980997678959
4595888,3046,588.6585723339356,531.9288865443532
4595888,3047,555.7045220131944,417.08901421449815
4595895,3046,520.5506381213035,531.898115184499
4595895,3048,379.9375220149586,375.24670662699805
4595895,3048,612.597667608573,332.7494141670037
4595895,3047,497.5296600586653,313.09391088694315
4595910,3048,637.0610375999921,211.39694426437802
4595910,3048,496.1850473716744,229.00644304291777
4595910,3047,530.1895967371305,346.8079176303904
4595910,3046,562.1515063785992,357.88571654253246
4595923,3048,611.1700042261375,216.6599154010489
4595923,3048,845.2140642568907,204.81296452336994
4595923,3046,707.1668329443612,368.656252102796
4595923,3047,679.9812331711363,340.5903764100216
4595936,3048,344.99653142844727,455.7971674525135
4595936,3048,569.4739089676899,440.85856646276795
4595936,3046,508.15092813879227,592.6442878233462
4595936,3047,499.7387373123163,548.0222735366556
4595941,3048,493.3379671308129,330.29763533189174
4595941,3048,675.4657923367536,303.3743916057963
4595941,3046,652.3434771366952,459.52920521715066
4595941,3047,620.0498800896524,438.293898999697
4595948,3048,621.9644599693852,443.99443101267724
4595948,3048,470.06994210391366,413.2475450433097
4595948,3047,557.5127541424247,531.5103646035911
4595948,3046,560.3774571390574,569.7655673313382
4595974,3046,522.4169235935162,662.396776458378
4595974,3047,514.5780518330839,620.9627400103789
4595974,3048,480.3630483225983,411.5528801245458
4595974,3048,655.6777435208645,393.63545895784347
4595975,3048,711.7891178196919,330.48111521962846
4595975,3048,520.4183734403275,329.0476264976856
4595975,3047,620.0458396153523,192.86619791311924
4595975,3046,600.6937418691246,493.8988295211082
4596005,3046,665.7663151099252,512.0273016207046
4596005,3047,639.6411228296691,442.45825082390655
4596005,3048,588.1084926098187,284.4248514830319
4596005,3048,783.9324874452503,301.60239488964874
4596013,3048,652.576590221653,320.79294773149775
4596013,3048,786.6294980851701,326.48297106144776
4596013,3046,685.6574778524875,529.6610951898222
4596013,3047,628.011058965668,504.93260244815093
4596054,3046,722.8415592368424,482.1243741724632
4596054,3048,821.6947303395035,326.5543869633021
4596054,3048,612.7574162036074,356.05710956119475
4596054,3047,711.9179562306737,377.2415939132507
4596072,3048,937.3216216216216,332.1081081081081
4596072,3048,780.9540540540542,353.5567567567568
4596072,3047,825.4270270270271,368.0864864864865
4596072,3046,837.8810810810812,570.118918918919
4596073,3048,559.8083960015462,376.52972804169343
4596073,3048,351.363992159487,373.6943976569673
4596073,3047,435.91526520470023,461.296489832678
4596073,3046,415.6363448704318,578.856409117362
4596078,3046,609.2213063211151,438.19835966466025
4596078,3048,703.2919468178527,293.341284364844
4596078,3048,500.3712688748917,350.30386301574555
4596078,3047,571.7557852271403,442.1499034188498
4596084,3048,460.23625276380443,74.0306742837255
4596084,3048,623.1465035511404,46.21672902735105
4596084,3047,561.9233038878342,257.2959829704192
4596084,3046,579.1346055671993,403.0376077897004
4596085,3048,534.8036149311522,348.39876859789126
4596085,3048,741.3386057117659,361.41586879387404
4596085,3046,621.0587015252426,583.8031904941203
4596085,3047,630.2514853798153,437.01519023562105
4596094,3046,556.6084388442308,567.5448388476148
4596094,3048,519.0389791438989,296.28972869010335
4596094,3048,677.1372050324499,256.0614504328694
4596094,3047,574.6995647066949,398.9335233618044
4596101,3048,670.173541584597,334.69725233037536
4596101,3048,851.2335462322997,361.4151125460907
4596101,3047,708.9221403758062,405.7392731216259
4596101,3046,713.9393509026062,529.7360475696785
4596106,3048,608.8648648648648,248.3891891891892
4596106,3048,761.081081081081,231.09189189189183
4596106,3047,645.3432432432431,278.8324324324324
4596106,3046,671.1351351351351,476.02162162162165
4596114,3046,634.464864864865,468.41081081081074
4596114,3047,559.7405405405407,300.281081081081
4596114,3048,529.1054054054055,367.39459459459454
4596114,3048,703.4621621621623,356.3243243243243
4596134,3048,855.3320175672584,502.6434786606279
4596134,3048,625.4275986842861,472.83169687140725
4596134,3047,636.5926909170659,547.1859567981867
4596134,3046,664.1416329532054,712.7545551816303
4596136,3048,753.4702702702702,223.48108108108104
4596136,3048,567.8513513513514,212.41081081081077
4596136,3046,624.7783783783786,392.3027027027026
4596136,3047,645.3432432432431,338.3351351351351
4596138,3048,488.38583767918703,78.0289432539926
4596138,3048,692.2024810386033,96.64026258079898
4596138,3046,581.8796198521646,396.7053854276662
4596139,3048,508.54054054054046,315.5027027027026
4596139,3048,659.181081081081,349.40540540540536
4596139,3047,551.4378378378378,375.0054054054053
4596139,3046,510.6162162162162,652.454054054054
4596141,3048,518.1461577440891,278.30530687383344
4596141,3048,660.3450623548001,259.85201390908463
4596141,3046,597.6208690515033,426.0792991255434
4596141,3047,567.4553425657214,413.37450022240955
4596144,3046,770.7675675675675,435.8918918918918
4596144,3047,721.4513513513513,303.7405405405405
4596144,3048,675.9783783783782,245.6216216216216
4596144,3048,859.3297297297296,217.75405405405402
4596145,3046,540.6658973389541,356.4195013833344
4596145,3047,531.8165365592861,288.25403617511466
4596145,3048,463.3001657715898,184.22598737856765
4596145,3048,635.6701576797122,159.10480021706996
4596153,3048,600.7095351561245,456.17115880179125
4596153,3048,873.2556850537147,490.9745197769342
